Current (A),Voltage (V)
-0.001,-2.352547
-0.0009487179487179488,-2.238738
-0.0008974358974358974,-2.12367
-0.0008461538461538462,-2.009085
-0.0007948717948717948,-1.894728
-0.0007435897435897436,-1.779656
-0.0006923076923076924,-1.662483
-0.000641025641025641,-1.544501
-0.0005897435897435897,-1.427005
-0.0005384615384615384,-1.30752
-0.0004871794871794872,-1.187701
-0.00043589743589743585,-1.066497
-0.0003846153846153846,-0.9449731
-0.00033333333333333327,-0.822767
-0.00028205128205128203,-0.69907
-0.00023076923076923068,-0.5743863
-0.00017948717948717944,-0.4490696
-0.0001282051282051282,-0.3222576
-7.692307692307686e-05,-0.1943851
-2.564102564102562e-05,-0.06508426
2.564102564102562e-05,0.06553581
7.692307692307707e-05,0.1974794
0.0001282051282051283,0.3307234
0.00017948717948717955,0.4653088
0.0002307692307692308,0.6003477
0.00028205128205128203,0.7367714
0.0003333333333333335,0.8747419
0.0003846153846153847,1.009722
0.00043589743589743596,1.141864
0.0004871794871794872,1.274078
0.0005384615384615387,1.403566
0.0005897435897435899,1.530093
0.0006410256410256411,1.669137
0.0006923076923076924,1.818087
0.0007435897435897436,2.282903
0.0007948717948717951,1.714239
0.0008461538461538463,1.83324
0.0008974358974358975,1.958978
0.0009487179487179488,2.070367
0.001,2.174843
