Current (A),Voltage (V)
-0.001,-9.26394
-0.0009487179487179488,-8.854001
-0.0008974358974358974,-8.519579
-0.0008461538461538462,-8.197827
-0.0007948717948717948,-7.88905
-0.0007435897435897436,-7.499575
-0.0006923076923076924,-7.100163
-0.000641025641025641,-6.780718
-0.0005897435897435897,-6.386354
-0.0005384615384615384,-6.001724
-0.0004871794871794872,-5.561418
-0.00043589743589743585,-5.160479
-0.0003846153846153846,-4.635458
-0.00033333333333333327,-4.121696
-0.00028205128205128203,-3.609082
-0.00023076923076923068,-3.024975
-0.00017948717948717944,-2.417873
-0.0001282051282051282,-1.888619
-7.692307692307686e-05,-1.248321
-2.564102564102562e-05,-0.4850766
2.564102564102562e-05,0.6640516
7.692307692307707e-05,1.243958
0.0001282051282051283,1.712259
0.00017948717948717955,2.084767
0.0002307692307692308,2.493441
0.00028205128205128203,2.857565
0.0003333333333333335,3.19188
0.0003846153846153847,3.68532
0.00043589743589743596,3.99595
0.0004871794871794872,4.258417
0.0005384615384615387,4.486612
0.0005897435897435899,4.706128
0.0006410256410256411,4.906156
0.0006923076923076924,5.110342
0.0007435897435897436,5.257156
0.0007948717948717951,5.464735
0.0008461538461538463,5.59502
0.0008974358974358975,5.716271
0.0009487179487179488,5.8912
0.001,6.015155
