Current (A),Voltage (V)
-0.001,-18.42941
-0.0009487179487179488,-17.52318
-0.0008974358974358974,-16.7214
-0.0008461538461538462,-15.84315
-0.0007948717948717948,-15.0881
-0.0007435897435897436,-14.30047
-0.0006923076923076924,-13.51973
-0.000641025641025641,-12.70475
-0.0005897435897435897,-11.84415
-0.0005384615384615384,-10.95038
-0.0004871794871794872,-10.03619
-0.00043589743589743585,-9.092068
-0.0003846153846153846,-8.114476
-0.00033333333333333327,-7.101533
-0.00028205128205128203,-6.064004
-0.00023076923076923068,-5.014009
-0.00017948717948717944,-3.95622
-0.0001282051282051282,-2.891994
-7.692307692307686e-05,-1.790679
-2.564102564102562e-05,-0.6274456
2.564102564102562e-05,0.6482421
7.692307692307707e-05,1.834239
0.0001282051282051283,2.911371
0.00017948717948717955,3.917345
0.0002307692307692308,4.908483
0.00028205128205128203,5.892262
0.0003333333333333335,6.883438
0.0003846153846153847,7.863805
0.00043589743589743596,8.843381
0.0004871794871794872,9.803443
0.0005384615384615387,10.79629
0.0005897435897435899,11.75168
0.0006410256410256411,12.75508
0.0006923076923076924,13.74263
0.0007435897435897436,14.78404
0.0007948717948717951,15.73962
0.0008461538461538463,16.74644
0.0008974358974358975,17.72313
0.0009487179487179488,18.68163
0.001,19.67805
