Current (A),Voltage (V)
-0.001,-19.99977
-0.0009487179487179488,-19.99979
-0.0008974358974358974,-19.99981
-0.0008461538461538462,-19.99979
-0.0007948717948717948,-19.99983
-0.0007435897435897436,-19.99983
-0.0006923076923076924,-19.99985
-0.000641025641025641,-19.99984
-0.0005897435897435897,-19.99986
-0.0005384615384615384,-19.99986
-0.0004871794871794872,-19.99986
-0.00043589743589743585,-19.99988
-0.0003846153846153846,-19.99989
-0.00033333333333333327,-19.9999
-0.00028205128205128203,-19.5651
-0.00023076923076923068,-16.96992
-0.00017948717948717944,-13.83055
-0.0001282051282051282,-10.10606
-7.692307692307686e-05,-6.148012
-2.564102564102562e-05,-2.948728
2.564102564102562e-05,13.35057
7.692307692307707e-05,16.70639
0.0001282051282051283,18.29594
0.00017948717948717955,19.92513
0.0002307692307692308,19.99936
0.00028205128205128203,19.99934
0.0003333333333333335,19.99932
0.0003846153846153847,19.99934
0.00043589743589743596,19.99932
0.0004871794871794872,19.9993
0.0005384615384615387,19.99929
0.0005897435897435899,19.99924
0.0006410256410256411,19.99928
0.0006923076923076924,19.99925
0.0007435897435897436,19.99925
0.0007948717948717951,19.99925
0.0008461538461538463,19.99926
0.0008974358974358975,19.99924
0.0009487179487179488,19.99921
0.001,19.99925
